"customerkey","givenname","cohort_year","last_purchase_date","customer_status"
508894,"Lena","2018","2022-10-22","churned"
508904,"Katrin","2018","2018-08-15","churned"
508950,"Kristian","2023","2023-08-31","churned"
508993,"Dominik","2019","2019-07-03","churned"
509064,"Philipp","2022","2022-03-10","churned"
509118,"Katharina","2021","2021-04-24","churned"
509167,"Benjamin","2022","2022-03-03","churned"
509195,"Brigitte","2022","2022-11-29","churned"
509237,"Juliane","2018","2023-12-27","active"
509241,"Lucas","2019","2023-08-02","churned"
509314,"Michelle","2018","2022-05-27","churned"
509315,"Sara","2017","2017-10-28","churned"
509331,"Leon","2022","2023-08-12","churned"
509334,"Michael","2016","2023-02-23","churned"
509366,"Tom","2018","2022-05-07","churned"
509461,"Michael","2016","2016-12-31","churned"
509494,"Lena","2017","2023-04-26","churned"
509499,"Kevin","2016","2024-02-17","active"
509501,"Vanessa","2018","2022-01-27","churned"
509506,"Florian","2016","2016-02-24","churned"
509575,"Anne","2022","2022-03-05","churned"
509587,"Kathrin","2023","2023-04-22","churned"
509608,"Ulrich","2020","2020-02-16","churned"
509653,"Tim","2015","2015-12-17","churned"
509695,"Klaudia","2021","2023-12-25","active"
509707,"Robert","2021","2021-12-08","churned"
509727,"Sabrina","2016","2023-12-01","active"
509764,"Maria","2019","2019-05-06","churned"
509766,"Ulrich","2023","2023-05-18","churned"
509861,"Michelle","2019","2023-10-14","churned"
509877,"Anja","2019","2021-11-10","churned"
509913,"Erik","2021","2021-09-27","churned"
509977,"Leonie","2022","2022-03-22","churned"
509986,"Thomas","2017","2017-03-23","churned"
510006,"Jessika","2019","2021-11-29","churned"
510027,"Mario","2022","2022-05-21","churned"
510042,"Ursula","2019","2019-01-08","churned"
510058,"Martina","2020","2020-09-11","churned"
510061,"Jan","2020","2023-06-20","churned"
510072,"Mandy","2022","2022-11-23","churned"
510080,"Anne","2021","2024-01-23","active"
510180,"Sabrina","2022","2022-12-07","churned"
510286,"Tim","2019","2019-02-18","churned"
510334,"Anja","2022","2022-07-05","churned"
510458,"Anne","2015","2015-07-21","churned"
510466,"Lea","2023","2023-08-26","churned"
510543,"Mario","2019","2019-12-26","churned"
510601,"Antje","2018","2022-11-22","churned"
510657,"Luca","2021","2021-10-09","churned"
510778,"Jens","2020","2022-11-09","churned"
510779,"Christine","2021","2021-07-15","churned"
510791,"Torsten","2020","2020-08-12","churned"
510822,"Anke","2018","2023-05-17","churned"
510951,"Sebastian","2015","2015-01-07","churned"
510958,"Ralf","2018","2018-12-22","churned"
511206,"Dennis","2018","2018-06-08","churned"
511213,"Erik","2023","2023-02-03","churned"
511217,"Leah","2022","2023-10-26","active"
511242,"Erik","2022","2023-04-24","churned"
511327,"Peter","2023","2023-07-03","churned"
511340,"Jessica","2022","2022-09-24","churned"
511373,"Katrin","2017","2023-12-16","active"
511427,"Melanie","2022","2022-08-02","churned"
511485,"Leonie","2020","2022-10-19","churned"
511545,"Stephanie","2017","2024-01-08","active"
511587,"Phillipp","2022","2022-12-15","churned"
511608,"Daniela","2017","2022-11-02","churned"
511610,"Julia","2016","2021-12-01","churned"
511642,"Dominik","2023","2023-02-13","churned"
511672,"Lena","2018","2021-12-30","churned"
511700,"Birgit","2023","2024-02-07","active"
511729,"Daniela","2022","2022-11-15","churned"
511774,"Lukas","2020","2021-09-28","churned"
511829,"Martina","2022","2022-12-02","churned"
511871,"Sven","2018","2022-11-24","churned"
511979,"Frank","2021","2023-09-04","churned"
512050,"Johanna","2016","2024-04-13","active"
512158,"René","2022","2022-12-17","churned"
512236,"Peter","2020","2020-05-26","churned"
512288,"Ursula","2022","2022-05-03","churned"
512464,"Johanna","2016","2019-08-08","churned"
512479,"Yvonne","2022","2022-12-17","churned"
512529,"Petra","2022","2024-02-03","active"
512598,"Karin","2023","2023-02-14","churned"
512698,"Juliane","2020","2022-12-04","churned"
512716,"Max","2022","2022-02-15","churned"
512727,"Matthias","2020","2023-03-11","churned"
512785,"Annett","2023","2023-04-21","churned"
512853,"Christian","2016","2020-07-17","churned"
513020,"Manuela","2022","2022-09-28","churned"
513033,"Christian","2023","2023-09-05","churned"
513083,"Phillipp","2023","2023-03-27","churned"
513123,"Erik","2022","2022-07-28","churned"
513300,"Dirk","2023","2023-06-14","churned"
513317,"Frank","2021","2021-04-22","churned"
513372,"Janina","2021","2023-03-01","churned"
513426,"Christin","2019","2024-02-03","active"
513531,"Michael","2016","2023-08-23","churned"
513618,"Martin","2022","2022-06-16","churned"
513722,"Klaus","2017","2022-03-10","churned"
513984,"Karolin","2021","2021-06-11","churned"
514163,"Stefanie","2022","2022-01-04","churned"
514202,"Jennifer","2019","2023-09-21","churned"
514262,"Daniela","2022","2022-06-09","churned"
514282,"Jessika","2017","2022-08-20","churned"
514287,"Luca","2019","2020-05-23","churned"
514306,"Janina","2019","2019-06-14","churned"
514330,"Ute","2017","2017-07-19","churned"
514365,"Sabrina","2022","2022-09-17","churned"
514378,"Florian","2018","2018-12-29","churned"
514392,"Ulrich","2018","2018-12-24","churned"
514415,"Sven","2018","2022-07-18","churned"
514447,"Karolin","2022","2022-03-04","churned"
514628,"Thomas","2023","2023-11-18","active"
514686,"Wolfgang","2021","2021-09-07","churned"
514779,"Katharina","2022","2022-03-31","churned"
514807,"Erik","2019","2023-10-04","churned"
514883,"Kerstin","2016","2016-02-22","churned"
514886,"Jana","2019","2023-03-15","churned"
515004,"Diana","2018","2021-09-10","churned"
515077,"Ines","2020","2022-03-10","churned"
515084,"Steffen","2019","2023-10-02","churned"
515135,"Robert","2020","2020-01-31","churned"
515170,"Jonas","2019","2021-07-05","churned"
515208,"Jennifer","2018","2018-09-14","churned"
515215,"Gabriele","2019","2020-02-04","churned"
515222,"Sven","2018","2023-02-23","churned"
515275,"Ulrike","2022","2022-05-11","churned"
515331,"Benjamin","2017","2023-01-27","churned"
515342,"Laura","2023","2023-05-24","churned"
515387,"Erik","2020","2020-01-06","churned"
515502,"Thomas","2023","2023-08-02","churned"
515605,"Melanie","2020","2020-12-29","churned"
515631,"Sebastian","2018","2020-08-07","churned"
515722,"Nicole","2016","2016-10-15","churned"
515743,"Uta","2022","2023-02-03","churned"
515777,"Karolin","2018","2018-07-21","churned"
515813,"Leah","2022","2023-04-22","churned"
516043,"Jonas","2022","2023-02-11","churned"
516134,"Sophia","2023","2023-08-31","churned"
516171,"Bernd","2021","2021-11-05","churned"
516179,"Yvonne","2021","2022-04-13","churned"
516182,"Jürgen","2016","2018-02-13","churned"
516201,"Birgit","2016","2023-02-14","churned"
516207,"Ralph","2019","2023-08-08","churned"
516229,"Jens","2019","2020-05-09","churned"
516287,"Phillipp","2021","2022-12-21","churned"
516503,"Annett","2017","2023-09-27","churned"
516599,"Michael","2019","2020-03-14","churned"
516615,"Martin","2017","2023-08-12","churned"
516654,"Vanessa","2020","2023-11-21","active"
516806,"Dirk","2018","2019-05-07","churned"
516812,"Phillipp","2022","2024-02-10","active"
516902,"Doreen","2017","2023-05-18","churned"
516931,"Swen","2017","2017-03-16","churned"
516997,"Dennis","2021","2022-07-02","churned"
517019,"Jan","2019","2024-02-28","active"
517180,"Tanja","2018","2024-01-08","active"
517214,"Birgit","2023","2023-05-17","churned"
517243,"Kristin","2019","2020-03-14","churned"
517261,"Klaudia","2021","2021-06-12","churned"
517382,"Kristin","2022","2022-07-02","churned"
517431,"Tim","2021","2021-01-20","churned"
517456,"Tim","2020","2023-05-19","churned"
517494,"Thomas","2016","2022-01-05","churned"
517567,"Monika","2018","2023-01-07","churned"
517579,"Dirk","2022","2024-04-11","active"
517599,"Niklas","2019","2021-05-22","churned"
517614,"Annett","2022","2022-09-24","churned"
517670,"Klaudia","2016","2024-03-09","active"
517679,"Yvonne","2022","2022-08-16","churned"
517682,"Nadine","2023","2023-08-31","churned"
517735,"Lucas","2018","2023-05-17","churned"
517763,"Ralph","2019","2022-11-16","churned"
517810,"Lisa","2022","2022-09-27","churned"
517849,"Michael","2018","2022-12-07","churned"
517877,"Heike","2018","2019-09-27","churned"
517879,"René","2019","2023-12-02","active"
517920,"Frank","2019","2023-06-16","churned"
517926,"Lukas","2021","2022-11-02","churned"
518005,"Felix","2017","2023-02-25","churned"
518031,"Anna","2023","2023-08-23","churned"
518052,"Bernd","2015","2015-09-22","churned"
518082,"Lea","2023","2023-07-14","churned"
518139,"Jessika","2023","2023-01-07","churned"
518186,"Swen","2023","2023-09-09","churned"
518193,"Kerstin","2022","2023-05-23","churned"
518235,"Jessica","2022","2023-07-14","churned"
518246,"Annett","2023","2023-06-19","churned"
518286,"Christian","2023","2023-08-09","churned"
518303,"Swen","2021","2021-11-30","churned"
518307,"Dennis","2019","2022-06-11","churned"
518361,"Yvonne","2023","2023-09-08","churned"
518500,"Ralph","2019","2023-07-01","churned"
518540,"Heike","2022","2022-05-20","churned"
518567,"Klaudia","2016","2016-05-27","churned"
518627,"Jan","2023","2023-08-31","churned"
518679,"Mike","2019","2019-08-19","churned"
518808,"René","2016","2024-01-13","active"
518832,"Martina","2016","2022-03-19","churned"
518901,"Sven","2018","2018-09-07","churned"
518924,"Marie","2017","2017-10-07","churned"
518937,"Daniela","2022","2023-06-05","churned"
519027,"Sarah","2021","2021-10-26","churned"
519125,"Swen","2015","2019-07-18","churned"
519167,"Peter","2016","2018-05-05","churned"
519209,"Kristin","2022","2022-07-15","churned"
519215,"Manuela","2020","2020-01-23","churned"
519219,"Sara","2018","2018-02-12","churned"
519339,"Patrick","2018","2022-02-23","churned"
519345,"Torsten","2015","2024-04-18","active"
519482,"Juliane","2022","2023-05-22","churned"
519512,"Anne","2016","2016-05-10","churned"
519514,"Manuela","2019","2024-02-19","active"
519515,"Ursula","2019","2022-10-26","churned"
519526,"Ulrike","2022","2022-10-22","churned"
519553,"Manuela","2022","2022-01-05","churned"
519589,"Daniel","2018","2018-09-19","churned"
519590,"Tom","2018","2022-09-24","churned"
519609,"Sabine","2019","2019-05-15","churned"
519613,"Lea","2023","2023-05-22","churned"
519624,"Lukas","2021","2024-01-16","active"
519787,"Uta","2022","2022-11-12","churned"
519799,"Julia","2019","2019-10-26","churned"
519873,"Lena","2018","2018-11-27","churned"
519945,"David","2022","2022-05-10","churned"
519987,"Monika","2019","2022-12-08","churned"
520002,"Daniel","2023","2023-09-15","churned"
520004,"Benjamin","2018","2022-11-16","churned"
520205,"Kristian","2022","2022-03-03","churned"
520246,"Uwe","2019","2023-12-08","active"
520263,"Manuela","2023","2023-09-20","churned"
520319,"Diana","2022","2023-10-30","active"
520388,"Franziska","2016","2016-01-27","churned"
520407,"Gabriele","2022","2022-12-10","churned"
520486,"Jana","2019","2019-01-17","churned"
520554,"Erik","2019","2024-02-17","active"
520573,"Ulrike","2023","2023-02-23","churned"
520590,"Frank","2022","2022-09-28","churned"
520619,"Christine","2016","2023-10-26","active"
520644,"Andrea","2019","2019-03-21","churned"
520697,"Sara","2022","2023-02-24","churned"
520764,"Karolin","2019","2022-07-20","churned"
520768,"Ulrike","2018","2018-02-16","churned"
520773,"Melanie","2023","2023-03-15","churned"
520799,"Tobias","2017","2017-07-08","churned"
520803,"Johanna","2021","2023-02-21","churned"
520857,"Franziska","2022","2022-05-14","churned"
520859,"Phillipp","2018","2019-11-25","churned"
520913,"Torsten","2023","2023-08-12","churned"
520957,"Monika","2018","2024-03-07","active"
521062,"Stefan","2023","2023-01-19","churned"
521080,"Mike","2023","2023-01-07","churned"
521148,"Sarah","2019","2019-08-05","churned"
521171,"David","2015","2019-07-14","churned"
521201,"Anna","2022","2022-11-25","churned"
521277,"Bernd","2018","2022-03-11","churned"
521303,"Martin","2022","2023-06-16","churned"
521318,"Martin","2022","2022-08-29","churned"
521396,"Kristian","2022","2022-07-08","churned"
521408,"Bernd","2020","2022-01-14","churned"
521415,"Katrin","2020","2020-02-26","churned"
521442,"Leah","2022","2024-01-06","active"
521488,"Felix","2022","2023-02-24","churned"
521538,"Sven","2015","2023-06-23","churned"
521576,"Anne","2021","2021-11-10","churned"
521580,"Karin","2023","2023-03-06","churned"
521585,"Stefanie","2015","2015-05-14","churned"
521600,"Christina","2022","2023-11-01","active"
521604,"Max","2020","2022-12-24","churned"
521606,"Maximilian","2021","2024-01-18","active"
521612,"Lisa","2017","2023-09-02","churned"
521628,"Niklas","2016","2023-06-23","churned"
521709,"Max","2022","2023-06-10","churned"
521750,"Jürgen","2017","2023-11-28","active"
521757,"Sabine","2022","2023-10-18","churned"
521814,"Florian","2023","2023-09-26","churned"
521864,"Andrea","2018","2018-05-23","churned"
521876,"Markus","2023","2023-02-09","churned"
521900,"Kerstin","2017","2017-09-14","churned"
521971,"Dominik","2022","2023-07-13","churned"
522048,"Robert","2018","2018-12-21","churned"
522126,"Petra","2016","2020-05-30","churned"
522145,"Stefan","2019","2020-02-20","churned"
522169,"Franziska","2023","2023-03-10","churned"
522183,"Christian","2020","2023-12-01","active"
522226,"Luca","2019","2019-02-13","churned"
522233,"Nadine","2019","2023-06-27","churned"
522455,"Michael","2016","2016-07-21","churned"
522497,"Sophia","2018","2023-05-26","churned"
522543,"Sarah","2020","2024-03-02","active"
522581,"Eric","2021","2021-05-29","churned"
522634,"Petra","2015","2021-11-05","churned"
522684,"Ute","2018","2019-06-26","churned"
522743,"Klaus","2018","2018-05-17","churned"
522782,"Frank","2017","2017-08-30","churned"
522830,"Tom","2017","2017-08-02","churned"
522841,"Yvonne","2022","2023-11-07","active"
522843,"Lisa","2022","2023-01-03","churned"
522884,"Ulrike","2021","2021-09-23","churned"
522967,"Peter","2021","2021-12-16","churned"
523006,"Christine","2017","2021-08-24","churned"
523050,"Dennis","2016","2016-06-10","churned"
523065,"Monika","2019","2023-06-13","churned"
523069,"René","2022","2022-09-30","churned"
523076,"Michael","2023","2023-02-23","churned"
523188,"Anja","2022","2022-12-06","churned"
523274,"Gabriele","2015","2023-01-18","churned"
523297,"Stefanie","2022","2022-10-17","churned"
523368,"Marina","2023","2023-03-17","churned"
523372,"Klaus","2022","2023-11-01","active"
523373,"Nadine","2022","2023-12-13","active"
523376,"Erik","2019","2019-12-16","churned"
523378,"Andrea","2020","2022-10-26","churned"
523546,"Anja","2023","2023-10-11","churned"
523665,"Sabrina","2015","2019-01-01","churned"
523692,"Maximilian","2022","2022-11-07","churned"
523758,"Luca","2023","2023-09-19","churned"
523775,"Diana","2021","2021-08-14","churned"
523796,"Ute","2023","2024-04-20","active"
523816,"Ute","2021","2021-07-16","churned"
523852,"Maria","2019","2019-12-27","churned"
523899,"Simone","2019","2019-08-24","churned"
523946,"Ute","2023","2023-02-18","churned"
523982,"Thorsten","2020","2020-02-28","churned"
523989,"Marko","2023","2023-04-21","churned"
524034,"Matthias","2015","2023-02-07","churned"
524142,"Marcel","2019","2019-09-03","churned"
524213,"Bernd","2022","2022-08-31","churned"
524227,"Martin","2018","2022-06-14","churned"
524252,"Jan","2019","2020-02-25","churned"
524301,"Wolfgang","2018","2018-10-28","churned"
524304,"Ralph","2022","2023-12-09","active"
524366,"Michelle","2021","2021-09-25","churned"
524427,"Maria","2017","2023-12-05","active"
524479,"Ulrich","2022","2023-04-22","churned"
524481,"Laura","2023","2023-05-11","churned"
524516,"Maria","2018","2018-01-31","churned"
524525,"Martina","2022","2023-11-02","active"
524556,"Dominik","2019","2022-10-29","churned"
524558,"Marcel","2022","2023-09-20","churned"
524600,"Andreas","2023","2023-01-05","churned"
524686,"Mathias","2021","2024-01-08","active"
524688,"Simone","2020","2024-02-15","active"
524800,"Kathrin","2017","2017-07-27","churned"
524821,"Marko","2021","2021-09-08","churned"
524846,"Sebastian","2015","2024-03-05","active"
524848,"Tanja","2020","2024-03-19","active"
524861,"Patrick","2019","2020-02-26","churned"
524871,"Laura","2018","2022-09-19","churned"
524912,"Susanne","2015","2023-05-24","churned"
524946,"Eric","2021","2021-10-07","churned"
524947,"Anja","2015","2015-12-23","churned"
524956,"Annett","2021","2021-11-11","churned"
524959,"Sven","2018","2021-11-09","churned"
525135,"Ursula","2020","2020-03-02","churned"
525142,"Tom","2022","2022-11-22","churned"
525194,"Christine","2022","2022-10-15","churned"
525221,"Marko","2019","2019-03-22","churned"
525247,"Bernd","2023","2023-08-16","churned"
525272,"Stefan","2022","2023-05-23","churned"
525276,"Mandy","2022","2023-11-04","active"
525366,"Jens","2017","2017-09-13","churned"
525394,"Dominik","2022","2022-06-23","churned"
525405,"Vanessa","2018","2019-06-10","churned"
525497,"Philipp","2018","2020-03-25","churned"
525500,"Wolfgang","2018","2024-01-05","active"
525525,"Brigitte","2023","2023-07-15","churned"
525621,"Barbara","2022","2023-09-15","churned"
525663,"Franziska","2019","2019-05-21","churned"
525738,"Jessika","2018","2018-09-29","churned"
525750,"Anke","2023","2023-06-24","churned"
525773,"Peter","2019","2019-11-08","churned"
525813,"Maximilian","2023","2023-03-10","churned"
525930,"Anke","2021","2023-01-14","churned"
525974,"Felix","2018","2018-06-12","churned"
526006,"Patrick","2016","2016-12-24","churned"
526142,"Melanie","2017","2020-12-25","churned"
526146,"Ulrich","2023","2024-02-17","active"
526209,"Bernd","2019","2023-08-26","churned"
526225,"Jonas","2021","2021-05-15","churned"
526245,"Steffen","2017","2018-11-19","churned"
526260,"Ralph","2023","2023-08-03","churned"
526295,"Dominik","2017","2017-12-23","churned"
526316,"Tanja","2020","2024-02-05","active"
526351,"Florian","2017","2018-03-22","churned"
526402,"Karolin","2021","2023-05-11","churned"
526450,"Sophie","2018","2021-10-16","churned"
526500,"Sophie","2019","2019-05-24","churned"
526594,"Franziska","2022","2022-01-06","churned"
526638,"Brigitte","2019","2019-01-22","churned"
526650,"Jan","2020","2020-11-25","churned"
526670,"Uwe","2022","2022-04-21","churned"
526773,"Dominik","2022","2022-11-18","churned"
526811,"Simone","2019","2022-08-30","churned"
526859,"Angelika","2022","2022-08-03","churned"
526898,"Ursula","2020","2023-11-25","active"
526908,"Michelle","2019","2019-02-15","churned"
526910,"Annett","2022","2024-02-17","active"
526993,"Uwe","2016","2022-01-05","churned"
527010,"Anke","2015","2024-02-20","active"
527072,"Christina","2019","2019-04-26","churned"
527112,"David","2021","2024-02-16","active"
527140,"Nicole","2016","2016-04-21","churned"
527162,"Ines","2018","2023-11-23","active"
527208,"Jens","2021","2023-02-18","churned"
527253,"Niklas","2021","2023-12-20","active"
527257,"Claudia","2022","2022-09-24","churned"
527333,"Alexander","2016","2022-10-13","churned"
527575,"Julia","2021","2024-02-08","active"
527692,"Steffen","2023","2023-04-07","churned"
527693,"Claudia","2020","2022-09-26","churned"
527728,"Anja","2015","2022-07-14","churned"
527729,"Nicole","2020","2022-08-17","churned"
527735,"Torsten","2018","2020-03-11","churned"
527764,"Sabrina","2022","2022-07-18","churned"
527771,"Silke","2018","2018-12-29","churned"
527773,"Leah","2021","2021-09-11","churned"
527845,"Laura","2022","2022-10-23","churned"
527872,"Markus","2018","2022-05-12","churned"
527873,"Jana","2018","2018-10-14","churned"
527934,"Christin","2017","2019-12-14","churned"
527999,"Stefan","2018","2022-09-15","churned"
528189,"Janina","2019","2019-12-21","churned"
528237,"Peter","2023","2023-09-16","churned"
528301,"Sara","2015","2023-01-27","churned"
528367,"Kristin","2022","2023-01-26","churned"
528377,"Doreen","2022","2024-01-11","active"
528405,"Lisa","2016","2023-02-25","churned"
528420,"Christina","2016","2016-08-27","churned"
528455,"Laura","2021","2021-03-13","churned"
528482,"Jonas","2018","2022-06-18","churned"
528492,"Phillipp","2019","2023-05-31","churned"
528535,"Manuela","2019","2023-07-10","churned"
528589,"Maik","2018","2018-05-02","churned"
528681,"Melanie","2019","2024-02-08","active"
528785,"Stephanie","2020","2020-12-15","churned"
528814,"Silke","2022","2022-08-06","churned"
528876,"Monika","2022","2022-09-14","churned"
528985,"Lisa","2018","2018-03-24","churned"
529019,"Niklas","2022","2022-02-21","churned"
529111,"Annett","2022","2022-12-28","churned"
529145,"Sabrina","2015","2015-02-19","churned"
529213,"Luca","2017","2022-12-17","churned"
529224,"Lisa","2018","2023-06-16","churned"
529231,"Anne","2022","2022-04-27","churned"
529242,"Vanessa","2021","2021-09-20","churned"
529272,"Luca","2018","2018-03-02","churned"
529340,"Dennis","2023","2023-03-11","churned"
529350,"Alexander","2022","2023-10-28","active"
529488,"Ulrike","2023","2023-10-10","churned"
529542,"Tim","2023","2023-10-16","churned"
529562,"Uta","2016","2016-02-20","churned"
529567,"Johanna","2023","2024-01-03","active"
529568,"Johanna","2023","2023-09-09","churned"
529607,"Paul","2021","2023-06-30","churned"
529663,"Sebastian","2020","2023-12-02","active"
529700,"Antje","2022","2022-07-13","churned"
529731,"Andrea","2017","2023-09-18","churned"
529746,"Tim","2022","2022-12-06","churned"
529821,"René","2020","2020-04-11","churned"
529837,"Jessica","2019","2022-12-30","churned"
529862,"Luca","2017","2020-05-11","churned"
529933,"Leah","2022","2023-12-27","active"
529978,"Gabriele","2020","2023-11-18","active"
529991,"Anja","2016","2022-04-26","churned"
530028,"Jens","2023","2023-02-17","churned"
530039,"Markus","2017","2024-02-24","active"
530230,"Birgit","2016","2023-08-23","churned"
530304,"Stephanie","2023","2023-10-11","churned"
530309,"Juliane","2015","2015-02-21","churned"
530363,"Jana","2021","2021-09-29","churned"
530381,"Ulrich","2019","2020-03-14","churned"
530414,"Stefan","2021","2021-10-28","churned"
530416,"Tobias","2022","2022-05-20","churned"
530520,"Daniela","2019","2019-03-01","churned"
530545,"Eric","2017","2021-05-22","churned"
530557,"Martina","2018","2018-08-02","churned"
530585,"Christin","2021","2021-12-19","churned"
530625,"Benjamin","2019","2019-09-11","churned"
530652,"Paul","2019","2019-08-09","churned"
530654,"Alexander","2022","2023-08-04","churned"
530673,"Melanie","2023","2023-02-23","churned"
530692,"Vanessa","2019","2023-01-03","churned"
530706,"Dennis","2021","2023-02-11","churned"
530739,"Klaudia","2021","2024-04-08","active"
530749,"Florian","2022","2023-09-29","churned"
530766,"Tim","2022","2022-12-22","churned"
530775,"René","2022","2022-09-29","churned"
530845,"Melanie","2017","2024-02-14","active"
530919,"Patrick","2018","2022-07-30","churned"
530950,"Klaus","2023","2023-05-06","churned"
531040,"Michael","2022","2023-11-04","active"
531056,"Dennis","2020","2022-10-31","churned"
531079,"Christian","2023","2023-01-18","churned"
531091,"Vanessa","2023","2023-06-29","churned"
531116,"Klaudia","2022","2022-05-14","churned"
531168,"Christina","2018","2024-02-13","active"
531217,"Brigitte","2021","2021-07-03","churned"
531222,"Marcel","2023","2023-02-28","churned"
531254,"Claudia","2022","2024-01-09","active"
531270,"Erik","2020","2020-09-12","churned"
531358,"Peter","2018","2023-05-13","churned"
531434,"Dennis","2019","2023-07-06","churned"
531542,"Melanie","2023","2023-01-28","churned"
531602,"Eric","2023","2023-08-03","churned"
531654,"Benjamin","2016","2016-07-12","churned"
531694,"Marie","2017","2023-02-02","churned"
531697,"Anna","2018","2022-10-06","churned"
531837,"Lukas","2020","2020-08-22","churned"
531866,"Tim","2015","2017-05-10","churned"
531916,"Jessika","2016","2023-02-21","churned"
531931,"Maximilian","2023","2023-01-21","churned"
531971,"Robert","2023","2023-11-21","active"
531974,"Ralf","2019","2021-10-06","churned"
532035,"Martina","2022","2022-12-08","churned"
532111,"Thorsten","2022","2022-05-21","churned"
532131,"Kathrin","2019","2019-11-14","churned"
532175,"Ute","2019","2019-11-09","churned"
532184,"Marko","2018","2018-07-21","churned"
532237,"Sarah","2018","2019-08-20","churned"
532257,"Johanna","2019","2023-10-13","churned"
532298,"Jessika","2021","2021-09-16","churned"
532337,"Stephan","2021","2024-01-24","active"
532378,"Christine","2018","2022-04-29","churned"
532394,"Philipp","2016","2022-10-06","churned"
532456,"Janina","2016","2021-04-24","churned"
532458,"Kevin","2015","2023-12-30","active"
532460,"Andreas","2021","2024-02-10","active"
532502,"Gabriele","2016","2016-07-06","churned"
532514,"Brigitte","2022","2022-09-07","churned"
532597,"Paul","2019","2023-02-10","churned"
532670,"Felix","2019","2023-12-02","active"
532733,"Lisa","2019","2022-12-16","churned"
532780,"Martina","2022","2022-10-24","churned"
532782,"Sophie","2017","2022-02-19","churned"
532815,"Franziska","2018","2018-07-20","churned"
532818,"Frank","2022","2022-02-10","churned"
532837,"Ralph","2023","2023-04-29","churned"
532883,"Markus","2019","2024-01-25","active"
532905,"Lisa","2018","2023-12-21","active"
532950,"Silke","2019","2019-04-17","churned"
532955,"Marko","2023","2024-04-06","active"
532965,"Marie","2018","2018-05-08","churned"
533076,"Gabriele","2022","2022-09-13","churned"
533078,"Klaudia","2015","2015-08-29","churned"
533082,"René","2021","2021-06-16","churned"
533113,"Lukas","2017","2023-03-11","churned"
533152,"Steffen","2018","2023-12-21","active"
533197,"Sven","2023","2023-01-10","churned"
533214,"Erik","2017","2023-10-31","active"
533221,"Sabine","2023","2023-08-15","churned"
533279,"Maximilian","2021","2021-07-10","churned"
533343,"Jörg","2016","2023-08-27","churned"
533371,"Annett","2019","2020-01-21","churned"
533415,"Ralph","2018","2024-01-30","active"
533436,"Laura","2023","2023-07-25","churned"
533474,"Christin","2020","2022-01-20","churned"
533548,"Frank","2018","2024-02-07","active"
533559,"Daniel","2019","2019-12-13","churned"
533599,"Diana","2016","2016-05-16","churned"
533600,"Patrick","2018","2018-11-20","churned"
533639,"Sabrina","2022","2022-12-30","churned"
533667,"Jana","2022","2023-05-22","churned"
533719,"Silke","2019","2019-04-24","churned"
533831,"Antje","2018","2020-01-14","churned"
533968,"Susanne","2019","2019-12-19","churned"
533975,"Phillipp","2020","2020-09-15","churned"
534035,"Christin","2022","2022-07-20","churned"
534042,"Stephan","2022","2022-11-12","churned"
534109,"Bernd","2021","2021-02-26","churned"
534120,"Anne","2017","2020-06-25","churned"
534230,"Melanie","2019","2019-06-12","churned"
534312,"Kevin","2019","2019-02-08","churned"
534324,"Stefan","2015","2024-03-13","active"
534352,"Steffen","2022","2024-01-31","active"
534388,"Alexander","2022","2023-01-28","churned"
534398,"Anke","2021","2024-01-31","active"
534402,"Kristin","2021","2021-11-16","churned"
534438,"Florian","2018","2018-02-17","churned"
534466,"Erik","2021","2024-01-12","active"
534515,"Angelika","2015","2015-12-31","churned"
534517,"Jörg","2018","2018-11-15","churned"
534569,"Katharina","2023","2023-06-01","churned"
534570,"Christian","2022","2024-02-17","active"
534577,"Stefan","2022","2022-02-24","churned"
534598,"Susanne","2018","2018-06-03","churned"
534632,"Andreas","2019","2019-01-28","churned"
534673,"Jessica","2022","2023-12-29","active"
534686,"Jonas","2019","2019-12-15","churned"
534710,"Peter","2017","2022-10-10","churned"
534750,"Vanessa","2017","2022-10-12","churned"
534756,"Jennifer","2018","2018-03-21","churned"
534768,"Martin","2019","2019-05-09","churned"
534778,"Marcel","2022","2023-12-27","active"
534788,"Christina","2022","2023-01-11","churned"
534876,"Kathrin","2019","2019-09-25","churned"
535022,"Tobias","2016","2024-01-31","active"
535031,"Karolin","2022","2022-11-03","churned"
535059,"Ute","2022","2022-06-10","churned"
535072,"Anne","2018","2022-01-10","churned"
535116,"Florian","2018","2023-06-21","churned"
535129,"Julia","2017","2023-01-31","churned"
535157,"Jörg","2022","2022-11-19","churned"
535164,"Kerstin","2019","2022-12-28","churned"
535180,"Sabine","2021","2021-10-26","churned"
535189,"Klaudia","2019","2019-08-05","churned"
535257,"Johanna","2019","2022-05-26","churned"
535286,"Laura","2023","2023-09-29","churned"
535315,"Uwe","2022","2022-08-20","churned"
535342,"Leonie","2022","2022-08-19","churned"
535371,"Michael","2019","2019-01-14","churned"
535435,"Thorsten","2015","2015-09-23","churned"
535456,"Martin","2019","2022-05-17","churned"
535487,"Anja","2018","2023-02-10","churned"
535643,"Katja","2017","2023-04-20","churned"
535723,"Thomas","2020","2022-12-29","churned"
535737,"Johanna","2017","2017-12-02","churned"
535790,"Christin","2022","2024-03-06","active"
535850,"Thorsten","2018","2022-01-02","churned"
